wav_path,claimed_id,genuine,scale_factor,distance,latency_ms
voxceleb1\wav\id11112\FUiiruCPVTI\00001.wav,id11112,True,0.04,0.40904372286788815,233.8500000005297
voxceleb1\wav\id10592\K0YrTxZ9a4o\00001.wav,id10592,True,25.0,0.4953169220089797,264.7252999995544
voxceleb1\wav\id11048\O8yIcoe2doA\00003.wav,id11048,True,25.0,0.370688482751687,357.9736000010598
voxceleb1\wav\id10645\PpufCRHg9os\00008.wav,id10645,True,0.04,0.30878728421093093,257.9220000006899
voxceleb1\wav\id11083\WQrVyLYxYKE\00002.wav,id11083,True,1.0,0.4056448870514411,257.5466999987839
voxceleb1\wav\id11083\WQrVyLYxYKE\00005.wav,id11083,True,25.0,0.5938330764418198,268.4767999999167
voxceleb1\wav\id10900\6ciWZe60ahQ\00010.wav,id10900,True,25.0,0.4463301416340901,262.1402000004309
voxceleb1\wav\id10797\BDhnUQwGYAo\00005.wav,id10797,True,25.0,0.5813681143799274,230.34830000142392
voxceleb1\wav\id10797\BDhnUQwGYAo\00006.wav,id10797,True,0.04,0.5464188465179347,224.86190000017814
voxceleb1\wav\id10600\Pxh-ihSUOTk\00005.wav,id10600,True,25.0,0.5893536495843852,224.86280000157421
voxceleb1\wav\id10592\MtgOR5RLIgE\00001.wav,id10592,True,0.04,0.39410777218472093,231.033899999602
voxceleb1\wav\id10592\PDfBidpJ5Jc\00001.wav,id10592,True,0.04,0.36355026311906535,238.4492000001046
voxceleb1\wav\id10824\BgTZDSJKLks\00001.wav,id10824,True,0.04,0.3448109621573451,235.11490000055346
voxceleb1\wav\id10476\agQ0RfUEo14\00005.wav,id10476,True,25.0,0.3713632030610591,243.20039999838627
voxceleb1\wav\id10645\QqO6kjUmbR8\00001.wav,id10645,True,0.04,0.5004370125913282,234.6772000000783
voxceleb1\wav\id10762\1ZWoxzrBYH8\00010.wav,id10762,True,1.0,0.2178658495941156,237.47829999956593
voxceleb1\wav\id10530\B8oeUlhmqFE\00002.wav,id10530,True,25.0,0.4538208892668456,221.63569999975152
voxceleb1\wav\id10912\3efhGhqizHg\00005.wav,id10912,True,25.0,0.6948209258496267,223.27649999897403
voxceleb1\wav\id11073\9sGEfsatKi8\00005.wav,id11073,True,25.0,0.49430291510273705,228.04469999937282
voxceleb1\wav\id11073\M44AVe_BcGE\00002.wav,id11073,True,25.0,0.6411142065010509,235.66749999918102
voxceleb1\wav\id11251\9h3PzQ9kL4w\00001.wav,id11251,True,25.0,0.7154435931762456,224.11819999979343
voxceleb1\wav\id11009\FUemeogd1lA\00005.wav,id11009,True,0.04,0.34757462597563105,223.45990000030724
voxceleb1\wav\id11045\HewcG4UqpIU\00005.wav,id11045,True,0.04,0.2639483770837272,240.29139999947802
voxceleb1\wav\id10802\7LcN6ETgW44\00002.wav,id10802,True,25.0,0.49652075308729426,232.49489999943762
voxceleb1\wav\id10329\EXBuk_FwHu0\00011.wav,id10329,True,0.04,0.4289741541283101,236.47619999974268
voxceleb1\wav\id10875\ZOsjLV0XXlQ\00005.wav,id10875,True,25.0,0.45953723957896075,225.8440999994491
voxceleb1\wav\id10786\BP8Lsp8p8iY\00003.wav,id10786,True,0.04,0.42457234190762794,231.26719999891066
voxceleb1\wav\id10400\QS6RrYT7KKM\00006.wav,id10400,True,0.04,0.3808460188433499,258.03930000074615
voxceleb1\wav\id10762\3sfzgqqtbKM\00008.wav,id10762,True,0.04,0.321335859569002,266.4322999989963
voxceleb1\wav\id10736\KdHADpeCUe8\00001.wav,id10736,True,0.04,0.5131931668754739,254.71509999988484
voxceleb1\wav\id10745\5EPvrY18MoQ\00007.wav,id10745,True,1.0,0.2320208898585605,252.77789999927336
voxceleb1\wav\id10824\BgTZDSJKLks\00004.wav,id10824,True,25.0,0.5526168268225506,257.6226000001043
voxceleb1\wav\id10456\L6TBYanT-fQ\00004.wav,id10456,True,1.0,0.4191659646640734,259.96720000148343
voxceleb1\wav\id11175\9jq2l0AMcNA\00016.wav,id11175,True,0.04,0.4561754690552652,254.04170000001614
voxceleb1\wav\id10329\EXBuk_FwHu0\00027.wav,id10329,True,1.0,0.28032921724306825,269.9135999991995
voxceleb1\wav\id10476\O_k91Sbd0vw\00001.wav,id10476,True,25.0,0.36093607389237015,266.3570999993681
voxceleb1\wav\id10950\8pDGaKmyWhU\00008.wav,id10950,True,25.0,0.5745888865398707,264.7910000014235
voxceleb1\wav\id10530\B8oeUlhmqFE\00001.wav,id10530,True,0.04,0.40427597456407005,242.54450000080396
voxceleb1\wav\id11048\O8yIcoe2doA\00008.wav,id11048,True,1.0,0.35113172832210593,244.37720000059926
voxceleb1\wav\id11112\FUiiruCPVTI\00005.wav,id11112,True,1.0,0.3355305671987613,240.86040000111097
voxceleb1\wav\id11175\9jq2l0AMcNA\00014.wav,id11175,True,1.0,0.3581648580260386,229.31360000075074
voxceleb1\wav\id10946\QgAJv0CXl-4\00004.wav,id10946,True,25.0,0.6424189836366101,235.31869999897026
voxceleb1\wav\id11073\9sGEfsatKi8\00007.wav,id11073,True,25.0,0.3871616533328841,252.6065000001836
voxceleb1\wav\id10592\JP1fI0BtcGM\00001.wav,id10592,True,1.0,0.4787638918984165,258.54309999886027
voxceleb1\wav\id11251\K7BJPsQgDP8\00001.wav,id11251,True,25.0,0.8491640227697907,262.35560000168334
voxceleb1\wav\id10762\3sfzgqqtbKM\00005.wav,id10762,True,25.0,0.5684169348143766,255.7741000000533
voxceleb1\wav\id10329\EXBuk_FwHu0\00015.wav,id10329,True,1.0,0.2692966170336185,281.21070000088366
voxceleb1\wav\id10824\BgTZDSJKLks\00002.wav,id10824,True,25.0,0.7086636680044645,256.00219999978435
voxceleb1\wav\id10950\8pDGaKmyWhU\00003.wav,id10950,True,1.0,0.5067070968859346,243.69750000005297
