wav_path,claimed_id,genuine,method,factor,distance,latency_ms
voxceleb1\wav\id10400\QS6RrYT7KKM\00003.wav,id10400,True,naive,2,0.46757884149702633,220.92110000085086
voxceleb1\wav\id10912\2yUgv3B_YcI\00011.wav,id10912,True,naive,2,0.461447993929486,221.01600000132748
voxceleb1\wav\id10875\ZOsjLV0XXlQ\00005.wav,id10875,True,naive,2,0.46634926767827156,231.90160000012838
voxceleb1\wav\id11142\Gicu1gUl6iw\00008.wav,id11142,True,naive,2,0.5249575338252417,224.0990000009333
voxceleb1\wav\id10736\8hMkhwBzaJY\00011.wav,id10736,True,naive,2,0.39952785154248327,213.4822999996686
voxceleb1\wav\id10824\EPj8oj_wjI4\00005.wav,id10824,True,naive,2,0.4479361530799557,216.33880000081263
voxceleb1\wav\id10786\BP8Lsp8p8iY\00010.wav,id10786,True,naive,2,0.5964649464953555,218.4151000001293
voxceleb1\wav\id10994\5GLhL4Km-_0\00007.wav,id10994,True,naive,2,0.6675670778213365,215.38439999858383
voxceleb1\wav\id10736\FiuNwOmESq8\00001.wav,id10736,True,naive,2,0.5923491432970117,222.81010000006063
voxceleb1\wav\id10875\bDzNAlq_PXY\00002.wav,id10875,True,naive,2,0.5563845813219153,216.84649999951944
voxceleb1\wav\id10862\2bn9i9re2yI\00017.wav,id10862,True,naive,2,0.46465347907622445,231.5907000011066
voxceleb1\wav\id10862\2bn9i9re2yI\00028.wav,id10862,True,naive,2,0.5840934402488226,239.85030000039842
voxceleb1\wav\id10456\L6TBYanT-fQ\00004.wav,id10456,True,naive,2,0.4767712534955879,257.41459999881044
voxceleb1\wav\id10745\5EPvrY18MoQ\00007.wav,id10745,True,naive,2,0.43247855846615235,257.73780000054103
voxceleb1\wav\id10994\5GLhL4Km-_0\00014.wav,id10994,True,naive,2,0.6558221267588976,259.3649999998888
voxceleb1\wav\id10912\2yUgv3B_YcI\00018.wav,id10912,True,naive,2,0.38180923115682563,247.04800000108662
voxceleb1\wav\id11059\NvZ7wAj3STs\00001.wav,id11059,True,naive,2,0.6021170876430634,257.786500000293
voxceleb1\wav\id10912\2yUgv3B_YcI\00013.wav,id10912,True,naive,2,0.4203399569009183,271.2198000008357
voxceleb1\wav\id10508\OZxQo0H6O28\00007.wav,id10508,True,naive,2,0.6827813785616552,236.03650000040943
voxceleb1\wav\id10400\QS6RrYT7KKM\00006.wav,id10400,True,naive,2,0.4778249765889244,261.3863999995374
voxceleb1\wav\id11048\P8-Fq-2Atiw\00007.wav,id11048,True,naive,2,0.5143931559758992,484.5822999996017
voxceleb1\wav\id11009\77WS8eN5h3s\00009.wav,id11009,True,naive,2,0.43770355022322327,264.3139000010706
voxceleb1\wav\id10946\NdrTWoGwC7k\00002.wav,id10946,True,naive,2,0.5930883529345823,252.09029999859922
voxceleb1\wav\id10508\8t97-YsuqpM\00012.wav,id10508,True,naive,2,0.4790361287883238,244.4326999993791
voxceleb1\wav\id11059\89FrzqI2x0A\00005.wav,id11059,True,naive,2,0.6467679570078408,239.2292999993515
voxceleb1\wav\id10736\Wx-dJoKmZQk\00001.wav,id10736,True,naive,2,0.6092208083694948,231.10949999863806
voxceleb1\wav\id11045\6YdMVTk-eJ8\00001.wav,id11045,True,naive,2,0.6853383296875405,230.24620000069262
voxceleb1\wav\id11251\7GtZpUtReJ8\00005.wav,id11251,True,naive,2,0.5811577316910763,240.58330000116257
voxceleb1\wav\id10994\5GLhL4Km-_0\00013.wav,id10994,True,naive,2,0.6462625095881539,233.12690000057046
voxceleb1\wav\id10900\6ciWZe60ahQ\00010.wav,id10900,True,naive,2,0.5072130413170997,246.83090000144148
voxceleb1\wav\id10736\Wx-dJoKmZQk\00004.wav,id10736,True,naive,2,0.5974974302641606,237.89209999995364
voxceleb1\wav\id10912\67p2Yi5aHUM\00001.wav,id10912,True,naive,2,0.579545388460261,256.79130000025907
voxceleb1\wav\id11059\9ow-Q4wUAgc\00003.wav,id11059,True,naive,2,0.74643417729789,252.24129999878642
voxceleb1\wav\id10476\HvleHkiBb3s\00004.wav,id10476,True,naive,2,0.5101768957071728,267.7144999997836
voxceleb1\wav\id10912\2yUgv3B_YcI\00020.wav,id10912,True,naive,2,0.4553911878768516,266.09340000140946
