wav_path,claimed_id,genuine,snr_db,distance,latency_ms
voxceleb1\wav\id10400\QS6RrYT7KKM\00003.wav,id10400,True,40,0.4460945217219955,310.96830000024056
voxceleb1\wav\id10912\2yUgv3B_YcI\00011.wav,id10912,True,40,0.30647864170624306,290.6660999997257
voxceleb1\wav\id10875\ZOsjLV0XXlQ\00005.wav,id10875,True,40,0.33481747205512224,260.8170000003156
voxceleb1\wav\id11142\Gicu1gUl6iw\00008.wav,id11142,True,40,0.4222682946222911,264.4548999996914
voxceleb1\wav\id10736\8hMkhwBzaJY\00011.wav,id10736,True,40,0.36203531710785763,250.14610000107496
voxceleb1\wav\id10824\EPj8oj_wjI4\00005.wav,id10824,True,40,0.3561671586215439,253.24480000017502
voxceleb1\wav\id10786\BP8Lsp8p8iY\00010.wav,id10786,True,40,0.5092739246721318,250.4153000008955
voxceleb1\wav\id10994\5GLhL4Km-_0\00007.wav,id10994,True,40,0.33915333359893385,264.16210000024876
voxceleb1\wav\id10736\FiuNwOmESq8\00001.wav,id10736,True,40,0.45479111279627116,251.21199999921373
voxceleb1\wav\id10875\bDzNAlq_PXY\00002.wav,id10875,True,40,0.34690899097989303,251.98169999930542
voxceleb1\wav\id10862\2bn9i9re2yI\00017.wav,id10862,True,40,0.2721303601050832,255.85080000018934
voxceleb1\wav\id10862\2bn9i9re2yI\00028.wav,id10862,True,40,0.41668528177091313,253.90130000050704
voxceleb1\wav\id10456\L6TBYanT-fQ\00004.wav,id10456,True,40,0.4262969817269444,246.40919999910693
voxceleb1\wav\id10745\5EPvrY18MoQ\00007.wav,id10745,True,40,0.22515589428795624,248.46590000015567
voxceleb1\wav\id10994\5GLhL4Km-_0\00014.wav,id10994,True,40,0.3668935488789554,259.1680000004999
voxceleb1\wav\id10912\2yUgv3B_YcI\00018.wav,id10912,True,40,0.30088697721919566,261.06869999966875
voxceleb1\wav\id11059\NvZ7wAj3STs\00001.wav,id11059,True,40,0.34734665877512205,250.79220000043279
voxceleb1\wav\id10912\2yUgv3B_YcI\00013.wav,id10912,True,40,0.2550382547102681,259.3237999990379
voxceleb1\wav\id10508\OZxQo0H6O28\00007.wav,id10508,True,40,0.5333936459420501,259.0938000012102
voxceleb1\wav\id10400\QS6RrYT7KKM\00006.wav,id10400,True,40,0.3966486453253072,258.0225000001519
voxceleb1\wav\id11048\P8-Fq-2Atiw\00007.wav,id11048,True,40,0.3769369428136219,266.28060000075493
voxceleb1\wav\id11009\77WS8eN5h3s\00009.wav,id11009,True,40,0.25477897524556614,293.22420000062266
voxceleb1\wav\id10946\NdrTWoGwC7k\00002.wav,id10946,True,40,0.48891431324671897,293.60629999973753
voxceleb1\wav\id10508\8t97-YsuqpM\00012.wav,id10508,True,40,0.33207609562132534,284.0685000010126
voxceleb1\wav\id11059\89FrzqI2x0A\00005.wav,id11059,True,40,0.3367340957722085,294.2741000006208
voxceleb1\wav\id10736\Wx-dJoKmZQk\00001.wav,id10736,True,40,0.4599462440661284,275.9708000012324
voxceleb1\wav\id11045\6YdMVTk-eJ8\00001.wav,id11045,True,40,0.4559328175564624,285.09349999876576
voxceleb1\wav\id11251\7GtZpUtReJ8\00005.wav,id11251,True,40,0.41333632961617095,280.97130000060133
voxceleb1\wav\id10994\5GLhL4Km-_0\00013.wav,id10994,True,40,0.35559288234176545,283.2761000008759
voxceleb1\wav\id10900\6ciWZe60ahQ\00010.wav,id10900,True,40,0.3331186103656547,281.29730000000563
voxceleb1\wav\id10736\Wx-dJoKmZQk\00004.wav,id10736,True,40,0.42036466341056045,253.89160000122502
voxceleb1\wav\id10912\67p2Yi5aHUM\00001.wav,id10912,True,40,0.36659116940535885,260.1260999999795
voxceleb1\wav\id11059\9ow-Q4wUAgc\00003.wav,id11059,True,40,0.45556522247135245,261.50930000039807
voxceleb1\wav\id10476\HvleHkiBb3s\00004.wav,id10476,True,40,0.36342897261739215,266.5831000012986
voxceleb1\wav\id10912\2yUgv3B_YcI\00020.wav,id10912,True,40,0.29334442174903763,256.661700001132
voxceleb1\wav\id11045\AvQ8yF93phA\00001.wav,id11045,True,40,0.3964718759456587,260.61309999931837
voxceleb1\wav\id11142\2n8y1cwQoyo\00004.wav,id11142,True,40,0.4352315092801611,256.433399999878
voxceleb1\wav\id11175\ceU3Lw9-d9M\00004.wav,id11175,True,40,0.40928555953439627,259.0933000010409
voxceleb1\wav\id11048\P8-Fq-2Atiw\00006.wav,id11048,True,40,0.36046085096982394,260.65360000029614
voxceleb1\wav\id11048\O8yIcoe2doA\00007.wav,id11048,True,40,0.34724138938953064,286.2841000005574
voxceleb1\wav\id11112\F-f32mt56js\00001.wav,id11112,True,40,0.3245336765923367,298.793799998748
voxceleb1\wav\id10862\2bn9i9re2yI\00016.wav,id10862,True,40,0.31200590985570287,286.4379000002373
voxceleb1\wav\id11009\SiQyvjzbTp8\00004.wav,id11009,True,40,0.31876601514055225,321.46190000094066
voxceleb1\wav\id11059\89FrzqI2x0A\00009.wav,id11059,True,40,0.2889487122360582,268.2864000016707
voxceleb1\wav\id11048\P8-Fq-2Atiw\00008.wav,id11048,True,40,0.35131643172566873,304.08609999904
voxceleb1\wav\id11251\K7BJPsQgDP8\00001.wav,id11251,True,40,0.5935537367057866,297.16129999906116
voxceleb1\wav\id10802\Alru9YC7xLc\00001.wav,id10802,True,40,0.3792408619313702,289.157699999123
voxceleb1\wav\id10921\B8oFwcURrps\00007.wav,id10921,True,40,0.27609911593409475,298.4156999991683
voxceleb1\wav\id10756\3kvWhMqqhhA\00007.wav,id10756,True,40,0.5040276669076671,315.3800999989471
voxceleb1\wav\id11073\9sGEfsatKi8\00004.wav,id11073,True,40,0.26383780409227764,313.7821000000258
voxceleb1\wav\id10645\FvwFfMvvIQ0\00002.wav,id10645,True,40,0.4537394574698711,276.5497999989748
voxceleb1\wav\id10824\Ez1o4NcC7pY\00003.wav,id10824,True,40,0.347921440136983,246.86300000030315
voxceleb1\wav\id10400\QS6RrYT7KKM\00002.wav,id10400,True,40,0.3189027344653518,265.5800000011368
voxceleb1\wav\id10862\2bn9i9re2yI\00010.wav,id10862,True,40,0.3168806623074776,263.3347999999387
voxceleb1\wav\id10950\8pDGaKmyWhU\00014.wav,id10950,True,40,0.5457253356532934,273.46030000080646
voxceleb1\wav\id10786\9w-EimtMXWs\00010.wav,id10786,True,40,0.2779247846109725,259.1558000003715
voxceleb1\wav\id10994\5GLhL4Km-_0\00008.wav,id10994,True,40,0.32944446057909627,272.75390000068
voxceleb1\wav\id10797\BDhnUQwGYAo\00012.wav,id10797,True,40,0.5459806685862902,260.4706999991322
voxceleb1\wav\id10875\ZOsjLV0XXlQ\00007.wav,id10875,True,40,0.29919234794451177,257.0393000005424
voxceleb1\wav\id10329\EXBuk_FwHu0\00015.wav,id10329,True,40,0.26444094542515495,272.9326000007859
voxceleb1\wav\id10400\UkZsd-dpZTg\00008.wav,id10400,True,40,0.3817401657140691,266.58950000091863
voxceleb1\wav\id10736\Wx-dJoKmZQk\00005.wav,id10736,True,40,0.3978212057262639,264.79379999909725
voxceleb1\wav\id10762\1ZWoxzrBYH8\00013.wav,id10762,True,40,0.3558839354945481,266.5550000001531
voxceleb1\wav\id10400\UkZsd-dpZTg\00004.wav,id10400,True,40,0.3459848429701783,258.37010000032024
voxceleb1\wav\id11175\9jq2l0AMcNA\00018.wav,id11175,True,40,0.49998004659055906,274.81210000041756
voxceleb1\wav\id11083\e216s0XVJIA\00004.wav,id11083,True,40,0.4014896157410538,285.6336000004376
voxceleb1\wav\id11009\IJrEEVoYmWw\00004.wav,id11009,True,40,0.3691605081139123,319.3106999988231
voxceleb1\wav\id10329\EXBuk_FwHu0\00022.wav,id10329,True,40,0.30165884340873683,417.67110000000685
voxceleb1\wav\id10745\GeM07WoKPRQ\00005.wav,id10745,True,40,0.2886060561033559,348.14189999997325
voxceleb1\wav\id10786\BP8Lsp8p8iY\00006.wav,id10786,True,40,0.37610358821596623,310.9779999995226
voxceleb1\wav\id10736\QU2_gJwqlrk\00002.wav,id10736,True,40,0.5861899851436305,311.1392999999225
voxceleb1\wav\id11073\9sGEfsatKi8\00001.wav,id11073,True,40,0.32411683409236935,301.5396000009787
voxceleb1\wav\id10875\ZOsjLV0XXlQ\00006.wav,id10875,True,40,0.2925747788357209,288.85449999870616
voxceleb1\wav\id10875\bDzNAlq_PXY\00010.wav,id10875,True,40,0.3509361725404919,289.27350000049046
voxceleb1\wav\id10862\2bn9i9re2yI\00027.wav,id10862,True,40,0.25012133416477444,268.6895999995613
voxceleb1\wav\id10592\8IIwLtU_XrQ\00005.wav,id10592,True,40,0.4020014349906985,258.8369999994029
voxceleb1\wav\id10802\Hx-Zv22BEQU\00001.wav,id10802,True,40,0.49398381332709085,276.3763000002655
voxceleb1\wav\id10530\B8oeUlhmqFE\00007.wav,id10530,True,40,0.48831996256722754,263.0557000011322
voxceleb1\wav\id11073\9sGEfsatKi8\00003.wav,id11073,True,40,0.36257921637750623,263.545100000556
voxceleb1\wav\id10508\OZxQo0H6O28\00006.wav,id10508,True,40,0.582042421030295,258.13320000088424
voxceleb1\wav\id11045\5AQnA6DzZ80\00001.wav,id11045,True,40,0.38672018038268285,269.2237000010209
voxceleb1\wav\id10329\EXBuk_FwHu0\00012.wav,id10329,True,40,0.34450312928679394,285.65640000124404
voxceleb1\wav\id10862\2bn9i9re2yI\00018.wav,id10862,True,40,0.29195962353912064,254.23489999957383
voxceleb1\wav\id10946\MSCo-Dauf1M\00002.wav,id10946,True,40,0.49763104995328167,261.8297999997594
voxceleb1\wav\id11112\BtvYf7-8Vr4\00008.wav,id11112,True,40,0.46159371748005595,260.9874000008858
voxceleb1\wav\id11175\9jq2l0AMcNA\00015.wav,id11175,True,40,0.36470395965118163,278.77059999991616
voxceleb1\wav\id10802\IURLbUMafXs\00002.wav,id10802,True,40,0.3673152858933001,255.49990000035905
voxceleb1\wav\id11142\Gicu1gUl6iw\00004.wav,id11142,True,40,0.4706364151245913,276.0827000001882
voxceleb1\wav\id11251\Tmh87G_cDZo\00003.wav,id11251,True,40,0.4481292422353007,289.3631999995705
voxceleb1\wav\id11083\KMGLj7Ql3ZY\00004.wav,id11083,True,40,0.3880918958979267,296.30790000010165
voxceleb1\wav\id10921\B8oFwcURrps\00004.wav,id10921,True,40,0.3348113397863728,298.7185000001773
voxceleb1\wav\id10912\3efhGhqizHg\00002.wav,id10912,True,40,0.3866111161505127,260.33470000038506
voxceleb1\wav\id10745\5EPvrY18MoQ\00008.wav,id10745,True,40,0.21510313255617597,283.22709999883955
voxceleb1\wav\id11048\O8yIcoe2doA\00006.wav,id11048,True,40,0.43783414617931826,362.3632999988331
voxceleb1\wav\id10912\2yUgv3B_YcI\00016.wav,id10912,True,40,0.3140040407212139,286.5663000011409
voxceleb1\wav\id10756\3kvWhMqqhhA\00004.wav,id10756,True,40,0.3521310167892723,292.75090000010096
